Cluster ID,confidence_score,Id,duns,bp name,addr,postl
5,0.953481053766066,168,690553821,Mitsubishi Chemical CorporationSubstainable Resources Business DevPetrochemicals R&TD Division,"1-1 Marunouchi 1-chome, Chiyoda-ku,Tokyo 100-8251",NULL

22,0.9534811040533906,169,690553821,Mitsubishi Chemical CorporationSustainable Ressource Dept.,"14-1, Shiba 4-Chome, Minato-ku,Tokyo 108-0014",NULL

23,0.9534811381236754,170,690553821,Mitsubishi Chemical CorporationTechnology Center,"1 Toho-Cho,,Yokkaichi, Mie",5108530

23,0.9534811741602682,171,690553821,Mitsubishi Chemical CorporationTechnology CenterMr. Kadowaki,"1 Toho-Cho,,Yokkaichi, Mie",5108530

23,0.9534811741602682,172,690553821,Mitsubishi Chemical CorporationTechnology CenterMr. Zhang Tao,"1 Toho-Cho,,Yokkaichi, Mie",5108530

5,0.9534806741182347,173,690553821,Mitsubishi Chemical CorporationTokyo Sales GroupImaging Materials DepartmentChiyoda-ku,"1-1 Marunouchi 1-Chome,JP-Tokyo 100-8251",NULL

49,1.0,174,690553821,Mitsubishi Chemical CorporationTsuba Plant,"1000 Higashi-mamiana, Ushiku City,Ibaraki",3001295

23,0.9534805174978462,175,690553821,"Mitsubishi Chemical CorporationYokkaichi Plant, Polymers Lab.",",Yokkaichi",5108530

5,0.9534810184729661,176,690553821,Mitsubishi Chemical Holdings Corpor,"1-1, Marunouchi 1-Chome,Chiyoda-Ku, Tokyo",NULL

50,1.0,177,690553821,"MITSUBISHI CHEMICAL SYSTEMS, Inc.","Skytree East Tower, 1-1-2,,Tokyo",NULL

51,1.0,178,691197610,"Mitsubishi Chemical Eng. CorporationKyushi Operation, Engineering Div.","1-2 Shiroshi, Kurosaki,JP-Yahatanishi-ku, Kitakyushi-City",NULL

22,0.9534808307412534,179,691197610,Mitsubishi Chemical Eng. CorporationShin-Tamachi Building,"34-6, Shiba 5-chome, Minato-ku,JP-1080014 Tokyo",NULL

15,0.9534814349258898,180,691197610,Mitsubishi Chemical Engineering Corporation,NULL,NULL

5,0.9534801403127163,181,691197610,Mitsubishi Chemical Engineering Corporation,"2-2,Nihonbashi-Hongokucho 1-chome Chuo-ku,Tokyo,Japan",NULL

7,0.953480508274322,182,691197842,"Mitsubishi Shoji Plastics CorporatiKishimoto Bldg. 2-2-1,","Marunouchi, Chiyoda-ku,,JP-100-8350 Tokyo",NULL

7,0.9534806183847302,183,691197842,"Mitsubishi Shoji Plastics CorporatiKishimoto Bldg. 2-2-1,","Marunouchi, Chiyoda-ku,,Tokyo",1008350

52,1.0,184,691649669,Mitsubishi Engineering-Plastics,"1-9-2 Higashi-shinbashi Minato-ku,JP 105-0021 Tokyo",1050021

