Id,duns,bp name,addr,postl
132,690553821,Mitsubishi Chemical Corporation,"Marunouchi 1-chome, Chiyoda-ku,Tokyo",1008251
133,690553821,Mitsubishi Chemical Corporation,"PALACE BUILDING 1-1, MARNOUCHI 1-CHOME,CHIYODA-KU,100-8251,TOKYO",NULL
134,690553821,Mitsubishi Chemical CorporationChiyoda-Ku,"Marunouchi 1-Chome, 1-1,Tokyo",1008251
135,690553821,Mitsubishi Chemical CorporationCoating & Additives DivisionPerformance Additives Department,"1-1 Marunouchi 1-Chome,,Tokyo",1008251
136,690553821,Mitsubishi Chemical CorporationDept.: CA-AA,"14-1, Shiba 4-Chome, Minato-ku,JP-Tokyo 108-0014",NULL
137,690553821,Mitsubishi Chemical CorporationDept.: DSD,"14-1, Shiba 4-Chome, Minato-ku,JP-Tokyo 108-0014",NULL
138,690553821,Mitsubishi Chemical CorporationDept.: FI-AC,"14-1, Shiba 4-Chome, Minato-ku,JP-Tokyo 108-0014",NULL
139,690553821,Mitsubishi Chemical CorporationDept.: IE-SS,"14-1, Shiba 4-Chome, Minato-ku,JP-Tokyo 108-0014",NULL
140,690553821,Mitsubishi Chemical CorporationDept.: Performance Chemicals,"1-1 Marunouchi 1-chome, Chiyoda-ku,Tokyo",1008251
141,690553821,Mitsubishi Chemical CorporationDept.: Performance Chemicals,"1-1 Marunouchi 1-chome, Chiyoda-ku,Tokyo 100-8251",NULL
142,690553821,Mitsubishi Chemical CorporationDept.: Performance Chemicals,"14-1, Shiba 4-Chome, Minato-ku,JP-Tokyo 108-0014",NULL
143,690553821,Mitsubishi Chemical CorporationDept.: SC-SM,"14-1, Shiba 4-Chome, Minato-ku,JP-Tokyo 108-0014",NULL
144,690553821,Mitsubishi Chemical CorporationDIALEAD,"1-1-1 Marunoichi,Chiyoda-Ku, Tokyo",1008251
145,690553821,Mitsubishi Chemical CorporationEnvironmental and Living solutionsSeparator and Aqua Chemical Dept.New Business Development Group,"10F Gate City ohsaki East Tower,,Tokyo 141-0032",NULL
146,690553821,Mitsubishi Chemical CorporationGraphic Arts Department,"14-1, Shiba 4-Chome, Minato-ku,JP-Tokyo 108-0014",NULL
147,690553821,Mitsubishi Chemical CorporationGraphic Arts Department,"33-8 Shiba 5-chome, Minato-ku,JP-108-0014 Tokyo",NULL
148,690553821,Mitsubishi Chemical CorporationInfrastructure Materials DivisionG-Tape Business GroupGroup Manager  Mr. Kazu Yoshioka,"7 Kanda Konyacho, Chiyoda-ku,Tokyo",1010035
149,690553821,Mitsubishi Chemical CorporationMarketing Division,"Shiba 4-14-1 Minaot-ku,JP-108-0014 Tokyo",NULL
150,690553821,Mitsubishi Chemical CorporationMr. Shunsuke Sato,"Dai Nagoya Building, 28-12, Meieki,Nakamura-ku, Nagoya-shi, Aichi",4506419
151,690553821,Mitsubishi Chemical CorporationOxo Alcohols and Acrylates Departme,"14-1, Shinba, 4-chome, Minato-ku,Tokyo",1040014
152,690553821,Mitsubishi Chemical CorporationOxo Alcohols and Acrylates DepartmeChemical Derivatives Division,"14-1, Shinba, 4-chome, Minato-ku,JP-Tokyo 104-0014",NULL
153,690553821,Mitsubishi Chemical CorporationPalace Building,"1-1, Marunouchi 1-Chome, Chiyoda-ku,JP-Tokyo 100-8251",NULL
154,690553821,Mitsubishi Chemical CorporationPerformance Additives Unit,"Marunouchi,Chiyoda-Ku 1-1-1,Tokyo",1008251
155,690553821,Mitsubishi Chemical CorporationPerformance Chemicals Department,"1-1 Marunouchi 1-chome, Chiyoda-ku,Tokyo",1008251
156,690553821,Mitsubishi Chemical CorporationPerformance Chemicals Department,"1-1 Marunouchi 1-chome, Chiyoda-ku,Tokyo 100-8251",NULL
157,690553821,Mitsubishi Chemical CorporationPerformance Polymers Department,"1-1 Marunouchi 1-chome, Chiyoda-ku,Tokyo",1008251
158,690553821,Mitsubishi Chemical CorporationPerformance Products Division,"1-1 Maruniche 1-chome ,Chiyoda-ku,Tokyo",1008251
159,690553821,Mitsubishi Chemical CorporationPerformance Products DivisionSpecialty Chemicals Department,"1-1 Marunouchi 1-chome ,Chiyoda-ku,JP-Tokyo 100-8251",NULL
160,690553821,Mitsubishi Chemical CorporationPolyester & Nylon Dept.,"14-1, Shiba 4-Chome, Minato-ku,JP-Tokyo 108-0014",NULL
161,690553821,Mitsubishi Chemical CorporationPolymer Solution GroupNew Polymer Dev. Group,"14-1, Shiba 4-chome,Minato-ku,,JP-108-0014 Tokyo",NULL
162,690553821,Mitsubishi Chemical CorporationPPD DepartmentTechnical center,"1, Toho-cho,Yokkaichi, Mie",5108530
163,690553821,Mitsubishi Chemical CorporationPPD DepartmentTechnology centerBioplastic group,"1,Toho-cho,,Yokkaichi, Mie",5108530
164,690553821,Mitsubishi Chemical CorporationProcessing-Technique Development CeSoarnol Department,"Ushiodori 3-10, Kurashiki-City,,Okayama",7128054
165,690553821,Mitsubishi Chemical CorporationSales & Customer Relations Dept.,"1-1, Marunouchi 1-chome, Chiyoda-ku,Tokyo",1008251
166,690553821,Mitsubishi Chemical CorporationSales & Customer Relations Dept.Tokyo Sales Group 2,"1-1, Marunouchi 1-chome, Chiyoda-ku,Tokyo 100-8251",NULL
